ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359,Total_M,Total_T,Total_MT,Total,Chave_O+D
7,2019-11-17,102,165,private_transport,,,,,,,,,,,,49,,,,,,,,,,,,,0,0,0,49,102_165
7,2019-11-17,102,167,microtrip,21,,,,,,,,,,17,19,,,,15,13,,,26,20,,,,0,0,0,131,102_167
7,2019-11-17,102,167,private_transport,,,,,,,,,,,,34,,,,,16,,,,,,,,0,0,0,50,102_167
7,2019-11-17,102,168,microtrip,,11,,,,,19,,14,15,24,32,,,,,17,15,24,,20,15,20,10,14,39,53,236,102_168
7,2019-11-17,102,168,private_transport,26,,,,,,,,,,,,,,,22,,,42,,95,,,,0,42,42,185,102_168
7,2019-11-17,102,169,bus,,,,,,,,,,,,,,,,35,,,,,,,,,0,0,0,35,102_169
7,2019-11-17,102,169,microtrip,,,,,,,,,,,,10,,12,15,15,24,,,,12,,,,0,0,0,88,102_169
7,2019-11-17,102,169,private_transport,,,,,,,,,,,,21,,,,57,,,,,,,,,0,0,0,78,102_169
7,2019-11-17,102,170,microtrip,,,,,,,,,,,,10,,,,,,,,,,,,,0,0,0,10,102_170
7,2019-11-17,102,201,private_transport,,,,,,,,,,,,,,25,,,,,,,,,,,0,0,0,25,102_201
7,2019-11-17,102,202,private_transport,,,,,,,,,,,,25,,,,,,,,,,,,,0,0,0,25,102_202
7,2019-11-17,102,203,private_transport,,,,,,,,,,,,,,,,,11,,,,,,,,0,0,0,11,102_203
7,2019-11-17,102,204,microtrip,,,,,,,,,,,,10,11,,,,,,,,10,,,,0,0,0,31,102_204
7,2019-11-17,102,205,microtrip,,,,,,,,,,,,,,,,,,,,10,,,,,0,0,0,10,102_205
7,2019-11-17,102,207,bus,,,,,,,,,,,,,,,,12,,,,,,,,,0,0,0,12,102_207
7,2019-11-17,102,207,microtrip,,,,,,,,,,,,,,,13,,,,,,,,,,0,0,0,13,102_207
7,2019-11-17,102,207,private_transport,,,,,,,,,,,,52,,,,22,,,,15,,,,,0,0,0,89,102_207
7,2019-11-17,102,208,private_transport,,,,,,,,,,,,,,18,,,,,,,,,,,0,0,0,18,102_208
7,2019-11-17,103,102,microtrip,,14,,,,,12,,,,16,21,12,,20,,18,27,31,11,,13,,,0,58,58,195,103_102
7,2019-11-17,103,102,private_transport,,,,,,,,,,,,,,,,,,,,11,,,,,0,0,0,11,103_102
7,2019-11-17,103,103,microtrip,13,,,,,,,10,,12,24,11,10,14,,,,,16,,,,,,10,16,26,110,103_103
7,2019-11-17,103,104,microtrip,12,,,,,,,,,10,,18,11,,15,11,,,,20,13,,,,0,0,0,110,103_104
7,2019-11-17,103,105,microtrip,,,,,,,,,,12,,,,,11,,,,,,,,,,0,0,0,23,103_105
7,2019-11-17,103,106,microtrip,,,,,,,,,,13,23,20,,20,,28,,12,,,,,,,0,12,12,116,103_106
7,2019-11-17,103,107,microtrip,,,,,,,,,,,,,,10,,,,,,,12,,,,0,0,0,22,103_107
7,2019-11-17,103,110,microtrip,,,,,,,,,,,,,10,,,,,10,,,,,,,0,10,10,20,103_110
7,2019-11-17,103,110,private_transport,,,,10,,,,,,,,,,,,,25,,,,,,,,0,0,0,35,103_110
7,2019-11-17,103,111,private_transport,,,,,,,,,,,,,,,,,21,,,,,,,,0,0,0,21,103_111
7,2019-11-17,103,113,private_transport,,,,,,,,,,,,,,12,,,,,,,,,,,0,0,0,12,103_113
7,2019-11-17,103,115,microtrip,11,,,,,,,,,,,10,10,,11,,,,,,,,,,0,0,0,42,103_115
7,2019-11-17,103,115,private_transport,,,,,,,,,,,,,,,,,10,,,,,,,,0,0,0,10,103_115
7,2019-11-17,103,116,microtrip,,,,,,,,,11,,,,,,,,,,,,,,,,11,0,11,11,103_116
7,2019-11-17,103,117,microtrip,,11,,,16,,15,16,,21,24,,11,10,17,21,,20,,20,,24,,,16,20,36,226,103_117
7,2019-11-17,103,117,private_transport,,,,11,,,,,,,,,,,,,,,,,,,,,0,0,0,11,103_117
7,2019-11-17,103,120,microtrip,,,,,,,,,,11,13,,,,,,,,,,,,,,0,0,0,24,103_120
7,2019-11-17,103,121,private_transport,,,,,,,,,,,,,,,,,,,,,12,,,,0,0,0,12,103_121
7,2019-11-17,103,125,private_transport,,,,,,,,,,,,,,,,,10,,,,,,,,0,0,0,10,103_125
7,2019-11-17,103,126,private_transport,,,,,,,,,,,,10,,,,,,,,,,,,,0,0,0,10,103_126
7,2019-11-17,103,127,bus,,,,,,,,,,,,,,,,11,,,,,,,,,0,0,0,11,103_127
7,2019-11-17,103,127,microtrip,,,,,,,,,,,,,,,,,,,,11,,,,,0,0,0,11,103_127
7,2019-11-17,103,127,private_transport,,,,,,,,,,,,18,,,,,,,,,,,,,0,0,0,18,103_127
7,2019-11-17,103,128,bus,,,,,,,,,,,,12,,,,,,,,11,,,,,0,0,0,23,103_128
7,2019-11-17,103,128,microtrip,10,,,,,,,,,,15,27,17,13,17,23,,21,13,20,17,16,,,0,34,34,209,103_128
7,2019-11-17,103,128,private_transport,,,,,,,,,,,,,13,,,,,,,14,,,,,0,0,0,27,103_128
7,2019-11-17,103,129,microtrip,,,,,,,,,,,,,,,,,,,11,,,,,,0,11,11,11,103_129
7,2019-11-17,103,131,microtrip,,10,,,,,,,,,,,,,,,,,,,,,,,0,0,0,10,103_131
7,2019-11-17,103,134,microtrip,,,,,,,,,,,,,,,,,,,,,,10,,,0,0,0,10,103_134
7,2019-11-17,103,144,private_transport,,,,,,,,,,,,,,24,,,,,,,,,,,0,0,0,24,103_144
7,2019-11-17,103,145,private_transport,17,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,17,103_145
7,2019-11-17,103,146,private_transport,,,,,,,,,,,,,,,,,,,10,,,,,,0,10,10,10,103_146
7,2019-11-17,103,159,microtrip,11,,,,,,,,,,10,,,,,,,,,,,,,,0,0,0,21,103_159
7,2019-11-17,103,160,microtrip,,,,,,,15,,,,21,18,12,,12,16,,17,10,11,,14,,,0,27,27,146,103_160
7,2019-11-17,103,160,private_transport,,,,19,,,,,10,,,,,,,,,,,,,,,,10,0,10,29,103_160
7,2019-11-17,103,164,microtrip,,,,,,,,,,,,11,,,,,,,,,,,,,0,0,0,11,103_164
7,2019-11-17,103,165,microtrip,,,,,,,,,,,,,,,,10,10,,,10,,,,,0,0,0,30,103_165
7,2019-11-17,103,167,microtrip,,,,,,,,,,,,,,,,,,,,21,,,,,0,0,0,21,103_167
7,2019-11-17,103,168,private_transport,,,,,,,,,,,,,,,,,,,,,60,,,,0,0,0,60,103_168
7,2019-11-17,103,169,private_transport,,,,,,,,,,,,,,15,,10,,,,,13,,,,0,0,0,38,103_169
7,2019-11-17,103,207,private_transport,,,,,,,,,,,,,,49,,,10,,,,,,,,0,0,0,59,103_207
7,2019-11-17,104,102,microtrip,,,,,,,,,,11,,,10,10,22,18,14,,,14,,,,,0,0,0,99,104_102
7,2019-11-17,104,102,private_transport,,,,,,,,,,,91,,,,,,,,,,,,,,0,0,0,91,104_102
7,2019-11-17,104,103,microtrip,,,,,,,,,,13,10,,,,,,,,,,,,,,0,0,0,23,104_103
7,2019-11-17,104,104,bus,,,,,,,,36,,,,,13,23,,20,,33,,52,,37,,,36,33,69,214,104_104
7,2019-11-17,104,104,microtrip,37,21,15,,10,14,14,54,40,54,48,56,39,51,50,47,51,96,67,58,30,45,15,,94,163,257,912,104_104
7,2019-11-17,104,104,private_transport,,,54,75,,,,59,62,,,47,51,90,57,59,,43,,163,,24,,,121,43,164,784,104_104
7,2019-11-17,104,105,bus,,,,,,,,,,,,,18,,,,,,,,,,,,0,0,0,18,104_105
7,2019-11-17,104,105,microtrip,16,,12,,12,,,,19,28,,33,19,11,24,22,14,33,,28,,,,12,19,33,52,283,104_105
7,2019-11-17,104,105,private_transport,,,,,,,,,39,,,17,67,,,33,,,,47,,,,,39,0,39,203,104_105
7,2019-11-17,104,106,microtrip,21,,,,,,,13,24,11,,,24,11,20,13,17,,11,18,13,,17,,37,11,48,213,104_106
7,2019-11-17,104,106,private_transport,,,,,,,,,,,,,13,,,,,,,,,,,,0,0,0,13,104_106
7,2019-11-17,104,107,bus,,,,,,,,,10,,,10,11,,,,,,,,,,,,10,0,10,31,104_107
7,2019-11-17,104,107,microtrip,,,,,,,12,11,16,,,11,15,,,15,11,20,,,17,,,,27,20,47,128,104_107
7,2019-11-17,104,107,private_transport,,,,,,,,,24,,,,,,,,,,,,,,,,24,0,24,24,104_107
7,2019-11-17,104,110,bus,,,,,,,,,,,,10,,,,,,,,,,,,,0,0,0,10,104_110
7,2019-11-17,104,110,microtrip,,,10,,,,,,,,,,13,,,,12,17,12,20,13,,,,0,29,29,97,104_110
7,2019-11-17,104,110,private_transport,,,,,,,,,,,,,,18,,,,,,,,,,,0,0,0,18,104_110
7,2019-11-17,104,111,microtrip,,,,,,,,,11,,,,,,,10,,,11,,10,,,,11,11,22,42,104_111
7,2019-11-17,104,112,bus,,,,,,,,,,,16,,,,,,,,,,,,,,0,0,0,16,104_112
7,2019-11-17,104,112,private_transport,,,,,,,,,,,38,,,,,17,,,,,,,,,0,0,0,55,104_112
7,2019-11-17,104,113,private_transport,,,,,,,,,,,,,,,,,,,17,,,,,,0,17,17,17,104_113
7,2019-11-17,104,114,microtrip,,,,,,,,,,,,,,,,,10,,10,,,,,,0,10,10,20,104_114
7,2019-11-17,104,115,bus,,,,,,,,10,,,,,,,,,,21,,,,12,,,10,21,31,43,104_115
7,2019-11-17,104,115,microtrip,21,14,,,,,17,24,17,13,18,25,27,11,17,32,13,32,35,49,12,26,,,41,67,108,403,104_115
7,2019-11-17,104,115,private_transport,,,,19,,,,11,,,,13,,,,14,,79,,12,,,,,11,79,90,148,104_115
7,2019-11-17,104,116,bus,,,,,,,,22,10,,,10,,,,,,11,,28,,12,,,32,11,43,93,104_116
